,,Cloud Scale Control Mapping-Chizaram Precious,,,,,,,,
gap_id,source_artifact,exact_locator,gap_type,risk_statement,nist_csf_2_id,iso_27001_2022_control,why_it_applies,evidence_needed,Priority,Decision
G-001,Legacy Acceptable Use Policy,AUP §3,policy,"MFA is optional for all staff, so a phished or reused password on a privileged account gives an attacker direct access to production and customer data.",PR.AA-03,A.8.5,The gap is about the strength of authentication required before access is granted; PR.AA-03 covers authenticating users commensurate with risk and A.8.5 covers secure authentication requirements.,Entra ID Conditional Access policy export showing phishing-resistant MFA enforced for all privileged roles; OPA decision for each privileged identity in compliance-report.json,high,Implement — Funded control NF.IDENTITY.PRIVILEGED_ASSURANCE
G-002,Evidence pack — artifact reliability notes,"Entra ID configuration export bullet: MFA enabled for administrators, no conditional-access policy for all privileged roles",implementation,"MFA appears enabled but is not technically enforced for every privileged role, so the written rule would not stop a non-admin privileged account from authenticating with a weak factor.",PR.AA-03,A.8.5,"Same control objective as G-001, but the failure is in enforcement configuration, not the written policy; recorded separately because fixing the document does not fix the tenant.",Post-implementation Conditional Access export reconciled against the privileged-role inventory,high,Implement — Closed by the same funded identity control
G-003,Legacy Acceptable Use Policy; evidence pack,AUP §6; reliability notes: no current access-review ticket supplied,process,"Production access is reviewed only on manager request, allowing privilege creep and orphaned credentials (e.g. a privileged service account with 418-day-old credentials and no owner).",PR.AA-05,A.5.18,"PR.AA-05 covers managing and reviewing access permissions; A.5.18 covers provisioning, review, and removal of access rights on a defined cycle.",Scheduled access-review records; JML automation output; OPA decisions on service-identity ownership and credential age,high,Implement — Enforced via identity control plus Engineering's automated JML review
G-004,Legacy Acceptable Use Policy; Legal message,AUP §2; General Counsel message dated 10 July 2026,policy,Unbounded inspection of personal devices without informed monitoring terms risks unlawful processing of employee personal data under the NDPA and unusable evidence in incident response.,GV.PO-01,A.5.34,"The deficiency is a governance policy that creates monitoring without a lawful, proportionate, disclosed basis; A.5.34 addresses privacy and protection of PII, which is the actual subject of Legal's concern.",Updated BYOD clause; employee notification records; General Counsel approval records,medium,"Reduce — Addendum Clause 4 interim monitoring boundary; full BYOD program deferred (owner: General Counsel; trigger: next policy cycle, NDPC guidance, or BYOD incident)"
G-005,Legal message; Legacy Acceptable Use Policy,General Counsel message dated 10 July 2026; absence of any data-handling clause in AUP §§1–8,policy,"Support attachments containing identity documents have no required classification, encryption, or logging, exposing customer personal data to breach and NDPA liability.",PR.DS-01,A.8.12,"PR.DS-01 covers protection of data at rest; A.8.12 applies here because the objective is preventing leakage of organisational data stores holding PII,  distinct from the monitoring-law question in G-004.","OPA storage decisions in compliance-report.json; storage inventory showing classification, encryption, and immutable log sink per store",high,Implement — Funded control NF.STORAGE.RESTRICTED_PROTECTION plus addendum Clause 2
G-006,Evidence record: MDM dashboard screenshot,mdm-compliance.png metadata block: captured 18 November 2024; scope 91 devices vs current inventory 176,evidence,"The only encryption evidence predates and undercounts the current estate, so the organisation cannot demonstrate current endpoint encryption coverage to an auditor or regulator.",ID.AM-01,A.5.9,The gap is the inability to evidence the asset estate's current state; ID.AM-01 and A.5.9 cover maintaining an accurate inventory of assets as the basis for control assurance.,Current MDM export with metadata reconciled against the 176-laptop inventory; live OPA endpoint decisions,medium,Implement — Superseded by live evidence requirement in funded control NF.ENDPOINT.MANAGED_HEALTH and addendum Clause 3
G-007,Legacy Acceptable Use Policy; evidence pack,"AUP §8; reliability notes: Q2 helpdesk records, one security email routed after 31 hours",process,Incidents route through a general helpdesk with no escalation target; a 31-hour delay on a personal-data incident would breach NDPA notification expectations.,RS.MA-01,A.5.24,"RS.MA-01 covers executing incident response once declared; A.5.24 covers incident-management planning, roles, and escalation paths,  precisely what the helpdesk-only route lacks.",Helpdesk escalation timestamps against the four-hour triage target; monthly review records,high,Reduce — Addendum Clause 5 interim escalation route (owner: Head of IT Support; trigger: quarterly or any security incident); formal IR tooling deferred to next funding cycle
G-008,Legacy Acceptable Use Policy; colleague draft,AUP §1; colleague draft final row (90-day rotation conclusion),policy,"Forced 90-day rotation encourages predictable password patterns and contradicts current authentication guidance, while the draft's justification overstates its benefit.",PR.AA-01,A.5.17,"PR.AA-01 covers identity and credential management policy; A.5.17 covers authentication information lifecycle, including how passwords are set and changed.",Documented review of the rotation rule against current guidance at next policy cycle,low,Defer — Owner: Head of Security; trigger: annual policy review; no funded control consumed
G-009,Stakeholder message: Engineering,VP Engineering message dated 9 July 2026: JML review offer,process,"No documented joiner/mover/leaver process means departed or moved staff can retain access, undermining the identity control after go-live.",PR.AA-05,A.5.18,Same access-lifecycle objective as G-003; recorded separately because it concerns the automated lifecycle process Engineering offered rather than the review schedule itself.,JML automation run records; service-account owner assignments feeding OPA identity decisions,medium,Reduce — Adopted as enabler of the funded identity control; company-wide JML program deferred (owner: Engineering + Security; trigger: next quarterly planning)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,.,,,,,,
