claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-000,Overlay compliance,Assigned evidence marker for this variant.,assessment-manifest.json; integrity-attestation.md,evidence_marker field; attestation header,2026-07-23T08:00:00Z,"n/a — marker string, not a hashed artifact",The submission carries the assigned marker UBI-A5-264EFAFE5E84 as required by the private overlay.,Not a claim about CloudScale; an assessment-integrity marker.,high — issued on the private overlay and copied verbatim,None; the marker is a fixed assigned value.,"Marker recorded in setup evidence (assessment-manifest.json), this evidence index, and the integrity attestation."
C-001,2. Gap register (G-001),The Acceptable Use Policy offers multi-factor authentication as optional protection rather than requiring it for privileged accounts.,evidence-pack.pdf,"Page 1, Legacy Acceptable Use Policy approved 3 September 2018, clause 3",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,The written policy sets no MFA requirement; it presents MFA as available to staff who want additional protection.,Does not prove what is configured in the Entra ID tenant; that is recorded separately at C-002.,"high — the clause is short, unambiguous, and reproduced verbatim in the supplied corpus, leaving no interpretive room",Clause 3 could be read as advertising an available feature rather than defining the rule. Rejected: a policy clause that sets no requirement is itself the gap.,Retained as a policy gap. Closed by the funded identity control.
C-002,2. Gap register (G-002),MFA is enabled for administrators but no Conditional Access policy enforces it across all privileged roles.,evidence-pack.pdf,"Page 2, Artifact reliability notes, third bullet (Entra ID configuration export)",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,The tenant's enforcement state as recorded in the supplied reliability notes.,"Does not prove the export was complete or current; only its summary was supplied, not the export file itself.","medium — the finding is stated by the assessor rather than shown in a raw export, so it cannot be independently verified from the corpus",The summary could be stale in the way the MDM screenshot is. Retained because it is the only tenant-state evidence in the corpus and is presented as current within the assessment window.,Retained as an implementation gap. A post-implementation Conditional Access export is required as closure evidence.
C-003,2. Gap register (G-003),"Production access is reviewed only when a manager requests it, and no current access-review ticket exists.",evidence-pack.pdf,"Page 1, Legacy AUP clause 6; page 2, Artifact reliability notes, second bullet",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,"The policy defines on-request review only, and no review evidence exists anywhere in the corpus.",Does not prove reviews never happen informally; proves they are unscheduled and unevidenced.,"high — two independent locators agree, and the absence of a review ticket is stated explicitly rather than inferred",Reviews might occur but go undocumented. Weakened because an unevidenced review fails audit regardless of whether it happened.,Retained as a process gap. Addressed by the identity control plus the JML automation adopted at G-009.
C-004,5. Policy engine results,A privileged service identity exists with 418-day-old credentials and no named owner.,control-state.json,"JSON pointer /identities/2 (svc-201): /credential_age_days = 418, /owner = null",2026-07-21T12:32:26Z,87F2B4B7A47BC0714CBA560CD9B12FD0FA59121B3BBAF943033FC0AD4B7DD4EA,The authoritative state records this identity in breach of both the ownership requirement and the 90-day credential limit.,Does not prove how long the condition persisted before the state snapshot at 2026-07-13T08:00:00Z.,"high — the state file is the signed, versioned source of truth defined by the brief, and the values are machine-readable rather than narrated",The account could be decommissioned but left in state. Rejected: it remains flagged privileged in the authoritative inventory and must be governed until removed.,"Confirmed by engine output: deny, IDENTITY_OWNER_MISSING at control-state.json#/identities/2. Owner-missing precedes credential-stale in the declared precedence order; both remain in the violations set."
C-005,3. Evidence assessment; 2. Gap register (G-006),"The MDM screenshot was captured 18 November 2024 and shows 91 devices with 89 encrypted, against a current inventory of 176 company laptops plus approved personal devices.",evidence-pack.pdf,"Pages 1-2, Evidence record: MDM dashboard screenshot — filename offered, capture date, scope visible, current inventory, owner statement",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,Partial encryption coverage existed at the time of capture in November 2024.,"Does not prove current coverage, full-inventory coverage, or artifact provenance; no export metadata was supplied.",high — the capture date and device counts are stated explicitly in the evidence record and the arithmetic against current inventory is not in dispute,"The screenshot might still be directionally representative of today's estate. Weakened because it covers at most about half the current inventory with unknown provenance, against an owner claim that was categorical. The submission contract also treats screenshots as orientation aids rather than primary proof.",Owner's claim rejected. Classified as evidence gap G-006 and superseded by the live-evidence requirement in addendum Clause 3.
C-006,4. Corrected control mapping,The colleague's draft maps the BYOD privacy-boundary gap to ISO A.8.12 and concludes that data leakage prevention fully addresses employee-monitoring law.,evidence-pack.pdf,"Page 2, Colleague's draft mapping table, row 3 (BYOD monitoring has no privacy boundary)",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,The draft's proposed mapping and stated conclusion as written.,Does not prove the mapping is wrong; that judgment is the analysis set out in report section 4.,high — the row is reproduced verbatim in the corpus and the corpus states that at least one mapping is materially wrong,"The corpus does not name which mapping is wrong. The other four rows were each checked against their stated gap and found defensibly mapped, which isolates the BYOD row.",Mapping corrected to A.5.34 in report section 4 and in control-mapping.csv at G-004.
C-007,4. Corrected control mapping,"Legal's concern is whether monitoring is lawful, proportionate and clearly communicated — not data leakage.",evidence-pack.pdf,"Page 1, Stakeholder message: Legal, General Counsel, 10 July 2026",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,The subject matter of the legal concern as stated by the General Counsel.,Does not prove any NDPA interpretation; legal assumptions are stated in report section 8.,"high — the message explicitly names the inspection clause and the absence of informed monitoring terms, which is the precise subject of the mapping dispute","The message could be read as concerning attachment data only. Weakened because it challenges the inspection clause directly, and A.8.12 does not address lawfulness or proportionality of monitoring.","Supports the A.5.34 correction. Attachment-data protection recorded separately as G-005, where A.8.12 does correctly apply."
C-008,2. Gap register (G-007),One of three Q2 security emails was routed after 31 hours.,evidence-pack.pdf,"Page 2, Artifact reliability notes, fourth bullet (helpdesk records)",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,A documented escalation delay through the helpdesk-only incident route.,Does not prove typical routing time; the sample is three emails in a single quarter.,"medium — the delay is stated specifically, but three cases is too small a sample to characterise the process overall","The 31-hour case could be an outlier. Retained because a single personal-data incident delayed that long is itself a notification-timeline failure, independent of the average.",Retained. Drives the four-hour triage requirement in addendum Clause 5.
C-009,7. Stakeholder resolution,"Engineering supports phishing-resistant MFA for production admins and an automated joiner/mover/leaver review, and objects to mandating security keys for every role because contractors change weekly.",evidence-pack.pdf,"Page 1, Stakeholder message: Engineering, VP Engineering, 9 July 2026",2026-07-20T11:59:36Z,CA69E495B8F3EC616A1E205B318F8383107694A5E0418645B2069B513A1571B1,Engineering's stated position and the exact scope of what they offered to support.,Does not prove implementation is feasible within 900 staff-hours; that remains an estimate to validate at rollout.,high — the offer and the objection are both stated directly by the accountable executive and are quoted in full,"The offer could be conditional or later withdrawn. Retained because it is the only Engineering position in the corpus, and the identity control is scoped to match it exactly rather than exceed it.",Identity control scope and the G-009 disposition are both built on this statement.
